master_commit	relay_start	relay_end
2019-08-29 10:43:02.491857	2019-08-29 10:43:02.547409	2019-08-29 10:43:02.54749
2019-08-29 10:43:03.109907	2019-08-29 10:43:03.165147	2019-08-29 10:43:03.165183
2019-08-29 10:43:04.91292	2019-08-29 10:43:04.969252	2019-08-29 10:43:04.969329
2019-08-29 10:43:07.05052	2019-08-29 10:43:07.106155	2019-08-29 10:43:07.106194
2019-08-29 10:43:08.155474	2019-08-29 10:43:08.211487	2019-08-29 10:43:08.211559
2019-08-29 10:43:09.276191	2019-08-29 10:43:09.332019	2019-08-29 10:43:09.332051
2019-08-29 10:43:10.213183	2019-08-29 10:43:10.269093	2019-08-29 10:43:10.269153
2019-08-29 10:43:12.043579	2019-08-29 10:43:12.098998	2019-08-29 10:43:12.099067
2019-08-29 10:43:14.199731	2019-08-29 10:43:14.255144	2019-08-29 10:43:14.255212
2019-08-29 10:43:14.926366	2019-08-29 10:43:14.981936	2019-08-29 10:43:14.98197
2019-08-29 10:43:15.671467	2019-08-29 10:43:15.727291	2019-08-29 10:43:15.727368
2019-08-29 10:43:17.592418	2019-08-29 10:43:17.647906	2019-08-29 10:43:17.647939
2019-08-29 10:43:18.410495	2019-08-29 10:43:18.466003	2019-08-29 10:43:18.466099
2019-08-29 10:43:19.696337	2019-08-29 10:43:19.751475	2019-08-29 10:43:19.751508
2019-08-29 10:43:20.464871	2019-08-29 10:43:20.52048	2019-08-29 10:43:20.532883
2019-08-29 10:43:22.556311	2019-08-29 10:43:22.613595	2019-08-29 10:43:22.613627
2019-08-29 10:43:23.400488	2019-08-29 10:43:23.457285	2019-08-29 10:43:23.504306
2019-08-29 10:43:24.671714	2019-08-29 10:43:24.728347	2019-08-29 10:43:24.728409
2019-08-29 10:43:25.126463	2019-08-29 10:43:25.182785	2019-08-29 10:43:25.182859
2019-08-29 10:43:27.153708	2019-08-29 10:43:27.210462	2019-08-29 10:43:27.293919
2019-08-29 10:43:28.833449	2019-08-29 10:43:28.88888	2019-08-29 10:43:28.888918
2019-08-29 10:43:30.278005	2019-08-29 10:43:30.333949	2019-08-29 10:43:30.334054
2019-08-29 10:43:31.73083	2019-08-29 10:43:31.786165	2019-08-29 10:43:31.786199
2019-08-29 10:43:33.458797	2019-08-29 10:43:33.514698	2019-08-29 10:43:33.563186
2019-08-29 10:43:35.04463	2019-08-29 10:43:35.10034	2019-08-29 10:43:35.10042
2019-08-29 10:43:36.576708	2019-08-29 10:43:36.632154	2019-08-29 10:43:36.632189
2019-08-29 10:43:37.532686	2019-08-29 10:43:37.588607	2019-08-29 10:43:37.590305
2019-08-29 10:43:39.048521	2019-08-29 10:43:39.104187	2019-08-29 10:43:39.10425
