timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1567139692219,759,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,1,3,null,758,0,715
1567139692990,144,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,1,3,null,143,0,1
1567139693138,79,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,1,3,null,79,0,0
1567139693220,67,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,1,3,null,66,0,1
1567139693290,59,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,1,3,null,59,0,0
1567139693351,49,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,1,3,null,48,0,0
1567139693402,45,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,1,3,null,45,0,0
1567139693454,52,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,1,3,null,52,0,0
1567139693509,43,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,1,3,null,43,0,0
1567139693558,49,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,1,3,null,48,0,0
1567139693611,50,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,2,4,null,50,0,0
1567139693663,44,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,2,4,null,44,0,0
1567139693710,52,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,2,4,null,52,0,1
1567139693765,44,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,2,4,null,43,0,0
1567139693817,46,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,2,4,null,45,0,0
1567139693877,47,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,2,4,null,46,0,0
1567139693927,49,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,2,4,null,49,0,0
1567139693981,44,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,2,4,null,44,0,0
1567139694027,52,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,2,4,null,52,0,0
1567139694085,52,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,2,4,null,52,0,0
1567139694140,47,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,2,4,null,47,0,0
1567139694191,52,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,2,4,null,51,0,0
1567139694247,53,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,2,4,null,53,0,0
1567139694305,44,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,2,4,null,44,0,0
1567139694353,44,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,2,4,null,44,0,0
1567139694402,43,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,2,4,null,43,0,0
1567139693728,728,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-49,text,true,,11,0,2,4,null,728,0,689
1567139694447,60,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,2,4,null,60,0,0
1567139694510,50,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,2,4,null,50,0,0
1567139694459,111,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-49,text,true,,11,0,2,4,null,111,0,0
1567139694564,44,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,2,4,null,43,0,0
1567139694572,43,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-49,text,true,,11,0,2,4,null,43,0,0
1567139694610,50,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,2,4,null,50,0,0
1567139694617,52,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-49,text,true,,11,0,2,4,null,52,0,1
1567139694663,45,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,2,4,null,45,0,0
1567139694671,47,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-49,text,true,,11,0,2,4,null,47,0,0
1567139694710,54,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,2,4,null,54,0,0
1567139694720,46,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-49,text,true,,11,0,2,4,null,46,0,0
1567139694769,43,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-49,text,true,,11,0,2,4,null,43,0,0
1567139694768,47,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,2,4,null,47,0,0
1567139694817,44,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,2,4,null,44,0,0
1567139694814,52,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-49,text,true,,11,0,2,4,null,52,0,0
1567139694868,47,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-49,text,true,,11,0,2,4,null,47,0,0
1567139694863,55,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,2,4,null,55,0,0
1567139694917,53,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-49,text,true,,11,0,2,4,null,53,0,0
1567139694920,55,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,2,4,null,55,0,0
1567139694977,46,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,2,4,null,46,0,0
1567139694972,52,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-49,text,true,,11,0,2,4,null,52,0,0
1567139695026,43,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-49,text,true,,11,0,2,4,null,43,0,0
1567139695029,48,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,2,4,null,48,0,0
1567139695080,43,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,3,5,null,43,0,0
1567139695071,55,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-49,text,true,,11,0,3,5,null,55,0,0
1567139695125,49,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,3,5,null,49,0,0
1567139695129,51,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-49,text,true,,11,0,3,5,null,51,0,0
1567139695176,64,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,3,5,null,64,0,0
1567139695182,67,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-49,text,true,,11,0,3,5,null,58,0,0
1567139695247,53,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,3,5,null,53,0,0
1567139695250,52,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-49,text,true,,11,0,3,5,null,52,0,0
1567139695304,53,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-49,text,true,,11,0,3,5,null,53,0,0
1567139695302,58,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,3,5,null,57,0,0
1567139695367,48,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,11,0,3,5,null,48,0,0
1567139695359,59,JDBC Request,200,OK,jp@gc - Ultimate Thread Group 1-49,text,true,,11,0,3,5,null,59,0,10
