master_commit,slave_commit
1567084918918300,1567084919045162
1567084918981269,1567084919051482
1567084919529473,1567084919587720
1567084919918181,1567084919976906
1567084920148808,1567084920175162
1567084921195174,1567084921321219
1567084921392949,1567084921416491
1567084921488100,1567084921513230
1567084921521106,1567084921546914
1567084922576180,1567084922669279
1567084923180893,1567084923273520
1567084923806243,1567084923863914
1567084925599737,1567084925692099
1567084926248072,1567084926375640
1567084926403474,1567084926427998
1567084926420464,1567084926461532
1567084927162544,1567084927220528
1567084927317930,1567084927376488
1567084927622205,1567084927686235
1567084928230948,1567084928291154
1567084928756501,1567084928815332
1567084928885761,1567084928909961
1567084928973018,1567084928997342
1567084929257043,1567084929282204
1567084929701130,1567084929726483
1567084930302156,1567084930369253
1567084931390755,1567084931517644
1567084932089260,1567084932182044
1567084932129631,1567084932189190
1567084932754643,1567084932814177
1567084933106213,1567084933165247
1567084933479976,1567084933539845
1567084934549722,1567084934677362
1567084934643723,1567084934684694
1567084935257287,1567084935316157
1567084935280213,1567084935349710
1567084935434157,1567084935462166
1567084935904103,1567084935929190
1567084936578561,1567084936637551
1567084937685535,1567084937813700
1567084937992069,1567084938017669
1567084938212090,1567084938237376
1567084938796073,1567084938855650
1567084938991222,1567084939016187
1567084939003785,1567084939049926
1567084939704730,1567084939763792
1567084940165628,1567084940225102
1567084940480734,1567084940540671
1567084940857137,1567084940916253
1567084941215371,1567084941274840
1567084941596750,1567084941656146
1567084941665873,1567084941692078
1567084941741053,1567084941765236
1567084942286778,1567084942345439
1567084942702407,1567084942761287
1567084942886444,1567084942912082
1567084942898313,1567084942944313
1567084942902694,1567084942951068
1567084942928207,1567084942958019
1567084943093573,1567084943118784
1567084943286162,1567084943311186
1567084943901374,1567084943926953
1567084944419572,1567084944481397
1567084945317629,1567084945411111
1567084946385411,1567084946512365
1567084946592399,1567084946618255
1567084946690220,1567084946715769
1567084946934437,1567084946959773
1567084947437721,1567084947497242
1567084947985606,1567084948044842
1567084950195433,1567084950322412
1567084950866079,1567084950960096
1567084951206707,1567084951266461
1567084951294496,1567084951320159
1567084951426966,1567084951453275
1567084951775597,1567084951801828
1567084952028840,1567084952053561
1567084952264560,1567084952290430
1567084952323105,1567084952348342
1567084952839885,1567084952898772
1567084953373321,1567084953432644
1567084953429173,1567084953466332
1567084953767877,1567084953793590
1567084954330406,1567084954389935
1567084954405195,1567084954430935
1567084954457256,1567084954482644
1567084954527559,1567084954553583
1567084954670946,1567084954695899
1567084955382626,1567084955476420
1567084955689101,1567084955748654
1567084956145273,1567084956204691
1567084956743063,1567084956835778
1567084956816001,1567084956843108
1567084957309030,1567084957368560
1567084957805063,1567084957864376
1567084958837873,1567084958965388
1567084959012793,1567084959037879
1567084959403022,1567084959428796
1567084960506463,1567084960633937
1567084960822300,1567084960847382
1567084961511448,1567084961571595
1567084961906170,1567084961965727
1567084961982546,1567084962007751
1567084962442031,1567084962470129
1567084963482834,1567084963610262
1567084963489618,1567084963617596
1567084963674334,1567084963700537
1567084963789433,1567084963815300
1567084964442925,1567084964504152
1567084964663347,1567084964688871
1567084965701643,1567084965829277
1567084967928306,1567084968055258
1567084969136887,1567084969265352
1567084969270815,1567084969296814
1567084969271236,1567084969337350
1567084971026319,1567084971156879
1567084971212543,1567084971240198
1567084971609838,1567084971636126
1567084972316819,1567084972382695
1567084972687236,1567084972748924
1567084973695850,1567084973828726
1567084974141841,1567084974203637
1567084974629021,1567084974691146
1567084974993014,1567084975056346
1567084975002457,1567084975066011
1567084975400878,1567084975427712
1567084975851793,1567084975877547
1567084975909353,1567084975935297
1567084975953273,1567084975978905
1567084975997021,1567084976022239
1567084976358823,1567084976385007
1567084976569931,1567084976596690
1567084976681702,1567084976707650
1567084976699951,1567084976726256
1567084976929914,1567084976955590
1567084977699745,1567084977759411
1567084978489528,1567084978582052
1567084979435570,1567084979561783
1567084980364280,1567084980491574
1567084981912709,1567084982039306
1567084982185282,1567084982210331
1567084982365282,1567084982390052
1567084982714463,1567084982739248
1567084984540811,1567084984668639
1567084984867992,1567084984893064
1567084985255042,1567084985279653
1567084986770437,1567084986897509
1567084986955690,1567084986981075
1567084987133400,1567084987159164
1567084987670056,1567084987729135
1567084987873321,1567084987898506
1567084987964494,1567084987989063
1567084988102424,1567084988128306
1567084988420385,1567084988445257
1567084988604321,1567084988629776
1567084989193272,1567084989251883
1567084990064437,1567084990157813
1567084990826455,1567084990920425
1567084991295328,1567084991356631
1567084991502957,1567084991528951
1567084991620496,1567084991646548
1567084991941402,1567084991968567
1567084992541236,1567084992601615
1567084993152003,1567084993212298
1567084993156992,1567084993248243
1567084993392766,1567084993419071
1567084995814702,1567084995942168
1567084996248357,1567084996316908
1567084996685304,1567084996745365
1567084996944332,1567084996970313
1567084997493798,1567084997553787
1567084997985488,1567084998045686
1567084998652105,1567084998712382
1567084998802691,1567084998828195
1567084999687569,1567084999781710
1567084999970560,1567084999998290
1567084999984558,1567085000030127
1567085001723411,1567085001849200
1567085002091637,1567085002150320
1567085002661108,1567085002720779
1567085003995963,1567085004122717
1567085004108189,1567085004132320
1567085004144662,1567085004194959
1567085006889120,1567085007017349
1567085007434031,1567085007492888
1567085007656428,1567085007681499
1567085007907824,1567085007932493
