master_commit	relay_start	relay_end
2019-08-29 09:58:15.636452	2019-08-29 09:58:15.692504	2019-08-29 09:58:15.692554
2019-08-29 09:58:25.808132	2019-08-29 09:58:25.863816	2019-08-29 09:58:25.863863
2019-08-29 09:58:35.961395	2019-08-29 09:58:36.017183	2019-08-29 09:58:36.01723
2019-08-29 09:58:46.114498	2019-08-29 09:58:46.17051	2019-08-29 09:58:46.170587
2019-08-29 09:58:56.26686	2019-08-29 09:58:56.323261	2019-08-29 09:58:56.323307
2019-08-29 09:59:06.419471	2019-08-29 09:59:06.475149	2019-08-29 09:59:06.475196
2019-08-29 09:59:16.924402	2019-08-29 09:59:16.980101	2019-08-29 09:59:16.980153
2019-08-29 09:59:27.079094	2019-08-29 09:59:27.135053	2019-08-29 09:59:27.135123
2019-08-29 09:59:37.231917	2019-08-29 09:59:37.28863	2019-08-29 09:59:37.288677
2019-08-29 09:59:47.385832	2019-08-29 09:59:47.441572	2019-08-29 09:59:47.441625
2019-08-29 09:59:57.539048	2019-08-29 09:59:57.595194	2019-08-29 09:59:57.595258
2019-08-29 10:00:07.692584	2019-08-29 10:00:07.748716	2019-08-29 10:00:07.748765
2019-08-29 10:00:18.169294	2019-08-29 10:00:18.225588	2019-08-29 10:00:18.225636
2019-08-29 10:00:28.323874	2019-08-29 10:00:28.380559	2019-08-29 10:00:28.380647
2019-08-29 10:00:38.475341	2019-08-29 10:00:38.531456	2019-08-29 10:00:38.531506
2019-08-29 10:00:48.62534	2019-08-29 10:00:48.681641	2019-08-29 10:00:48.681735
2019-08-29 10:00:58.776023	2019-08-29 10:00:58.832302	2019-08-29 10:00:58.832372
2019-08-29 10:01:08.926619	2019-08-29 10:01:08.982314	2019-08-29 10:01:08.982366
2019-08-29 10:01:19.401222	2019-08-29 10:01:19.456998	2019-08-29 10:01:19.457051
2019-08-29 10:01:29.549455	2019-08-29 10:01:29.605357	2019-08-29 10:01:29.605418
2019-08-29 10:01:39.698616	2019-08-29 10:01:39.7548	2019-08-29 10:01:39.754837
2019-08-29 10:01:49.848575	2019-08-29 10:01:49.904717	2019-08-29 10:01:49.904767
2019-08-29 10:01:59.998507	2019-08-29 10:02:00.054588	2019-08-29 10:02:00.054627
2019-08-29 10:02:10.155605	2019-08-29 10:02:10.212615	2019-08-29 10:02:10.21265
2019-08-29 10:02:20.62159	2019-08-29 10:02:20.677882	2019-08-29 10:02:20.677919
2019-08-29 10:02:30.772141	2019-08-29 10:02:30.828178	2019-08-29 10:02:30.828223
2019-08-29 10:02:40.927113	2019-08-29 10:02:40.984277	2019-08-29 10:02:40.984354
2019-08-29 10:02:51.078535	2019-08-29 10:02:51.134334	2019-08-29 10:02:51.134381
2019-08-29 10:03:01.22795	2019-08-29 10:03:01.284081	2019-08-29 10:03:01.284126
2019-08-29 10:03:11.400367	2019-08-29 10:03:11.455929	2019-08-29 10:03:11.456004
2019-08-29 10:03:21.549685	2019-08-29 10:03:21.605395	2019-08-29 10:03:21.605447
2019-08-29 10:03:31.697965	2019-08-29 10:03:31.753745	2019-08-29 10:03:31.753794
2019-08-29 10:03:41.846895	2019-08-29 10:03:41.902707	2019-08-29 10:03:41.902799
2019-08-29 10:03:51.994468	2019-08-29 10:03:52.049752	2019-08-29 10:03:52.049798
2019-08-29 10:04:02.142168	2019-08-29 10:04:02.197976	2019-08-29 10:04:02.198027
2019-08-29 10:04:12.290982	2019-08-29 10:04:12.347518	2019-08-29 10:04:12.347606
2019-08-29 10:04:22.440277	2019-08-29 10:04:22.495882	2019-08-29 10:04:22.495926
2019-08-29 10:04:32.592139	2019-08-29 10:04:32.648238	2019-08-29 10:04:32.648284
2019-08-29 10:04:42.741072	2019-08-29 10:04:42.796565	2019-08-29 10:04:42.796642
2019-08-29 10:04:52.889208	2019-08-29 10:04:52.945268	2019-08-29 10:04:52.945318
2019-08-29 10:05:03.038678	2019-08-29 10:05:03.093918	2019-08-29 10:05:03.093965
2019-08-29 10:05:13.187289	2019-08-29 10:05:13.243227	2019-08-29 10:05:13.243279
2019-08-29 10:05:23.336151	2019-08-29 10:05:23.39195	2019-08-29 10:05:23.391995
2019-08-29 10:05:33.483836	2019-08-29 10:05:33.539114	2019-08-29 10:05:33.539162
2019-08-29 10:05:43.632867	2019-08-29 10:05:43.689882	2019-08-29 10:05:43.689936
2019-08-29 10:05:53.782784	2019-08-29 10:05:53.838669	2019-08-29 10:05:53.83874
2019-08-29 10:06:03.931679	2019-08-29 10:06:03.987627	2019-08-29 10:06:03.987673
2019-08-29 10:06:14.080262	2019-08-29 10:06:14.13579	2019-08-29 10:06:14.135838
2019-08-29 10:06:24.228086	2019-08-29 10:06:24.284244	2019-08-29 10:06:24.284311
2019-08-29 10:06:34.379737	2019-08-29 10:06:34.435129	2019-08-29 10:06:34.435175
2019-08-29 10:06:44.527492	2019-08-29 10:06:44.583269	2019-08-29 10:06:44.58332
2019-08-29 10:06:54.675758	2019-08-29 10:06:54.732143	2019-08-29 10:06:54.732232
2019-08-29 10:07:04.825252	2019-08-29 10:07:04.880739	2019-08-29 10:07:04.880785
2019-08-29 10:07:14.972794	2019-08-29 10:07:15.02839	2019-08-29 10:07:15.028447
2019-08-29 10:07:25.132675	2019-08-29 10:07:25.199213	2019-08-29 10:07:25.199283
2019-08-29 10:07:35.29441	2019-08-29 10:07:35.350203	2019-08-29 10:07:35.350252
2019-08-29 10:07:45.442569	2019-08-29 10:07:45.497782	2019-08-29 10:07:45.49783
2019-08-29 10:07:55.590468	2019-08-29 10:07:55.646634	2019-08-29 10:07:55.64671
2019-08-29 10:08:05.739057	2019-08-29 10:08:05.794993	2019-08-29 10:08:05.795041
2019-08-29 10:08:16.21264	2019-08-29 10:08:16.268601	2019-08-29 10:08:16.268647
2019-08-29 10:08:26.360847	2019-08-29 10:08:26.416724	2019-08-29 10:08:26.416802
2019-08-29 10:08:36.509502	2019-08-29 10:08:36.565239	2019-08-29 10:08:36.565284
2019-08-29 10:08:46.658972	2019-08-29 10:08:46.714737	2019-08-29 10:08:46.714785
2019-08-29 10:08:56.80938	2019-08-29 10:08:56.865339	2019-08-29 10:08:56.865386
2019-08-29 10:09:06.960717	2019-08-29 10:09:07.024378	2019-08-29 10:09:07.024455
2019-08-29 10:09:17.431421	2019-08-29 10:09:17.486912	2019-08-29 10:09:17.486964
2019-08-29 10:09:27.579927	2019-08-29 10:09:27.635538	2019-08-29 10:09:27.635575
2019-08-29 10:09:37.72989	2019-08-29 10:09:37.785734	2019-08-29 10:09:37.785806
2019-08-29 10:09:47.885132	2019-08-29 10:09:47.945779	2019-08-29 10:09:47.945816
2019-08-29 10:09:58.04062	2019-08-29 10:09:58.096172	2019-08-29 10:09:58.096206
2019-08-29 10:10:08.188981	2019-08-29 10:10:08.245284	2019-08-29 10:10:08.245369
2019-08-29 10:10:18.672568	2019-08-29 10:10:18.728399	2019-08-29 10:10:18.728437
2019-08-29 10:10:28.824695	2019-08-29 10:10:28.88052	2019-08-29 10:10:28.88056
2019-08-29 10:10:38.972661	2019-08-29 10:10:39.029352	2019-08-29 10:10:39.029408
2019-08-29 10:10:49.122334	2019-08-29 10:10:49.181877	2019-08-29 10:10:49.181915
2019-08-29 10:10:59.274281	2019-08-29 10:10:59.329587	2019-08-29 10:10:59.329624
2019-08-29 10:11:09.422685	2019-08-29 10:11:09.478609	2019-08-29 10:11:09.478668
2019-08-29 10:11:19.916281	2019-08-29 10:11:19.97372	2019-08-29 10:11:19.973759
2019-08-29 10:11:30.068679	2019-08-29 10:11:30.124389	2019-08-29 10:11:30.12443
2019-08-29 10:11:40.220142	2019-08-29 10:11:40.275865	2019-08-29 10:11:40.275935
2019-08-29 10:11:50.368302	2019-08-29 10:11:50.423823	2019-08-29 10:11:50.42386
2019-08-29 10:12:00.517254	2019-08-29 10:12:00.572761	2019-08-29 10:12:00.572797
2019-08-29 10:12:10.66538	2019-08-29 10:12:10.720984	2019-08-29 10:12:10.721022
2019-08-29 10:12:20.812876	2019-08-29 10:12:20.868742	2019-08-29 10:12:20.868794
2019-08-29 10:12:30.962858	2019-08-29 10:12:31.019886	2019-08-29 10:12:31.019926
2019-08-29 10:12:41.112579	2019-08-29 10:12:41.168131	2019-08-29 10:12:41.16817
2019-08-29 10:12:51.262232	2019-08-29 10:12:51.317819	2019-08-29 10:12:51.317886
2019-08-29 10:13:01.415174	2019-08-29 10:13:01.477066	2019-08-29 10:13:01.477115
2019-08-29 10:13:11.569922	2019-08-29 10:13:11.625476	2019-08-29 10:13:11.625526
2019-08-29 10:13:21.719084	2019-08-29 10:13:21.774727	2019-08-29 10:13:21.774809
