master_commit	relay_start	relay_end
2019-08-30 10:37:14.154171	2019-08-30 10:37:14.209897	2019-08-30 10:37:14.210005
2019-08-30 10:37:15.353256	2019-08-30 10:37:15.410043	2019-08-30 10:37:15.410125
2019-08-30 10:37:16.5281	2019-08-30 10:37:16.58422	2019-08-30 10:37:16.584305
2019-08-30 10:37:17.742793	2019-08-30 10:37:17.798825	2019-08-30 10:37:17.79887
2019-08-30 10:37:18.921795	2019-08-30 10:37:18.978916	2019-08-30 10:37:18.978988
2019-08-30 10:37:20.084884	2019-08-30 10:37:20.14027	2019-08-30 10:37:20.140345
2019-08-30 10:37:21.256113	2019-08-30 10:37:21.312787	2019-08-30 10:37:21.312845
2019-08-30 10:37:22.444913	2019-08-30 10:37:22.500594	2019-08-30 10:37:22.500658
2019-08-30 10:37:23.658834	2019-08-30 10:37:23.713964	2019-08-30 10:37:23.714051
2019-08-30 10:37:24.818734	2019-08-30 10:37:24.87669	2019-08-30 10:37:24.876775
2019-08-30 10:37:25.977196	2019-08-30 10:37:26.032382	2019-08-30 10:37:26.032456
2019-08-30 10:37:27.139998	2019-08-30 10:37:27.196183	2019-08-30 10:37:27.196215
2019-08-30 10:37:28.372497	2019-08-30 10:37:28.427773	2019-08-30 10:37:28.427834
2019-08-30 10:37:29.543638	2019-08-30 10:37:29.600956	2019-08-30 10:37:29.601039
2019-08-30 10:37:30.708524	2019-08-30 10:37:30.763683	2019-08-30 10:37:30.763733
2019-08-30 10:37:31.901005	2019-08-30 10:37:31.956804	2019-08-30 10:37:31.956855
2019-08-30 10:37:33.059204	2019-08-30 10:37:33.116202	2019-08-30 10:37:33.116281
2019-08-30 10:37:34.208016	2019-08-30 10:37:34.262965	2019-08-30 10:37:34.263032
2019-08-30 10:37:35.351557	2019-08-30 10:37:35.407384	2019-08-30 10:37:35.407422
2019-08-30 10:37:36.610807	2019-08-30 10:37:36.666222	2019-08-30 10:37:36.666264
2019-08-30 10:37:37.753003	2019-08-30 10:37:37.809349	2019-08-30 10:37:37.80938
2019-08-30 10:37:38.919737	2019-08-30 10:37:38.976906	2019-08-30 10:37:38.97697
2019-08-30 10:37:40.090899	2019-08-30 10:37:40.145908	2019-08-30 10:37:40.145952
2019-08-30 10:37:41.24083	2019-08-30 10:37:41.296485	2019-08-30 10:37:41.296521
2019-08-30 10:37:42.409464	2019-08-30 10:37:42.464566	2019-08-30 10:37:42.464642
2019-08-30 10:37:43.645319	2019-08-30 10:37:43.700809	2019-08-30 10:37:43.70091
2019-08-30 10:37:44.779369	2019-08-30 10:37:44.834648	2019-08-30 10:37:44.834704
2019-08-30 10:37:45.911439	2019-08-30 10:37:45.966902	2019-08-30 10:37:45.966967
2019-08-30 10:37:47.08056	2019-08-30 10:37:47.137244	2019-08-30 10:37:47.137313
2019-08-30 10:37:48.300945	2019-08-30 10:37:48.356416	2019-08-30 10:37:48.356482
2019-08-30 10:37:49.446658	2019-08-30 10:37:49.50182	2019-08-30 10:37:49.501875
2019-08-30 10:37:50.629013	2019-08-30 10:37:50.685446	2019-08-30 10:37:50.685487
2019-08-30 10:37:51.777128	2019-08-30 10:37:51.832809	2019-08-30 10:37:51.832846
2019-08-30 10:37:52.961069	2019-08-30 10:37:53.01609	2019-08-30 10:37:53.016158
2019-08-30 10:37:54.119964	2019-08-30 10:37:54.175858	2019-08-30 10:37:54.175889
2019-08-30 10:37:55.30099	2019-08-30 10:37:55.359216	2019-08-30 10:37:55.359256
2019-08-30 10:37:56.383554	2019-08-30 10:37:56.43974	2019-08-30 10:37:56.439787
2019-08-30 10:37:57.588547	2019-08-30 10:37:57.645139	2019-08-30 10:37:57.645957
2019-08-30 10:37:58.792621	2019-08-30 10:37:58.850505	2019-08-30 10:37:58.85054
2019-08-30 10:37:59.964393	2019-08-30 10:38:00.020749	2019-08-30 10:38:00.020797
2019-08-30 10:38:01.138232	2019-08-30 10:38:01.194566	2019-08-30 10:38:01.194661
2019-08-30 10:38:02.264603	2019-08-30 10:38:02.32043	2019-08-30 10:38:02.320503
2019-08-30 10:38:03.417107	2019-08-30 10:38:03.474014	2019-08-30 10:38:03.47409
2019-08-30 10:38:04.611578	2019-08-30 10:38:04.669891	2019-08-30 10:38:04.66997
2019-08-30 10:38:05.796077	2019-08-30 10:38:05.851248	2019-08-30 10:38:05.851319
2019-08-30 10:38:06.932632	2019-08-30 10:38:06.98772	2019-08-30 10:38:06.987796
2019-08-30 10:38:08.082909	2019-08-30 10:38:08.13883	2019-08-30 10:38:08.138875
2019-08-30 10:38:09.289533	2019-08-30 10:38:09.346316	2019-08-30 10:38:09.346353
2019-08-30 10:38:10.415047	2019-08-30 10:38:10.470699	2019-08-30 10:38:10.470796
2019-08-30 10:38:11.665252	2019-08-30 10:38:11.720854	2019-08-30 10:38:11.720898
2019-08-30 10:38:12.840115	2019-08-30 10:38:12.899048	2019-08-30 10:38:12.899105
2019-08-30 10:38:14.055866	2019-08-30 10:38:14.113988	2019-08-30 10:38:14.114043
2019-08-30 10:38:15.208774	2019-08-30 10:38:15.266246	2019-08-30 10:38:15.266287
2019-08-30 10:38:16.394158	2019-08-30 10:38:16.449212	2019-08-30 10:38:16.449282
2019-08-30 10:38:17.552739	2019-08-30 10:38:17.607724	2019-08-30 10:38:17.60779
2019-08-30 10:38:18.727618	2019-08-30 10:38:18.783315	2019-08-30 10:38:18.783367
2019-08-30 10:38:19.8582	2019-08-30 10:38:19.91325	2019-08-30 10:38:19.913312
2019-08-30 10:38:21.028155	2019-08-30 10:38:21.086675	2019-08-30 10:38:21.086724
2019-08-30 10:38:22.23108	2019-08-30 10:38:22.286984	2019-08-30 10:38:22.28703
2019-08-30 10:38:23.428653	2019-08-30 10:38:23.483867	2019-08-30 10:38:23.483912
2019-08-30 10:38:24.573022	2019-08-30 10:38:24.630885	2019-08-30 10:38:24.630923
2019-08-30 10:38:25.77264	2019-08-30 10:38:25.832111	2019-08-30 10:38:25.832159
2019-08-30 10:38:26.928519	2019-08-30 10:38:26.984729	2019-08-30 10:38:26.984771
2019-08-30 10:38:28.040984	2019-08-30 10:38:28.097898	2019-08-30 10:38:28.097938
2019-08-30 10:38:29.213119	2019-08-30 10:38:29.270292	2019-08-30 10:38:29.27034
2019-08-30 10:38:30.438163	2019-08-30 10:38:30.494288	2019-08-30 10:38:30.494328
2019-08-30 10:38:31.559464	2019-08-30 10:38:31.615148	2019-08-30 10:38:31.615195
2019-08-30 10:38:32.75582	2019-08-30 10:38:32.81101	2019-08-30 10:38:32.811075
2019-08-30 10:38:33.933278	2019-08-30 10:38:33.98907	2019-08-30 10:38:33.989152
2019-08-30 10:38:35.109299	2019-08-30 10:38:35.165381	2019-08-30 10:38:35.165429
2019-08-30 10:38:36.24944	2019-08-30 10:38:36.304631	2019-08-30 10:38:36.30472
2019-08-30 10:38:37.420676	2019-08-30 10:38:37.477064	2019-08-30 10:38:37.477114
2019-08-30 10:38:38.512152	2019-08-30 10:38:38.567316	2019-08-30 10:38:38.567382
2019-08-30 10:38:39.767866	2019-08-30 10:38:39.82584	2019-08-30 10:38:39.825921
2019-08-30 10:38:40.912342	2019-08-30 10:38:40.967811	2019-08-30 10:38:40.967867
2019-08-30 10:38:42.020562	2019-08-30 10:38:42.078251	2019-08-30 10:38:42.078324
2019-08-30 10:38:43.211498	2019-08-30 10:38:43.268185	2019-08-30 10:38:43.268236
2019-08-30 10:38:44.400733	2019-08-30 10:38:44.456019	2019-08-30 10:38:44.456176
2019-08-30 10:38:45.53277	2019-08-30 10:38:45.589414	2019-08-30 10:38:45.589502
2019-08-30 10:38:46.744901	2019-08-30 10:38:46.804405	2019-08-30 10:38:46.804528
2019-08-30 10:38:47.876591	2019-08-30 10:38:47.934464	2019-08-30 10:38:47.93453
2019-08-30 10:38:49.073146	2019-08-30 10:38:49.128688	2019-08-30 10:38:49.12882
2019-08-30 10:38:50.240062	2019-08-30 10:38:50.296148	2019-08-30 10:38:50.296258
2019-08-30 10:38:51.323974	2019-08-30 10:38:51.37935	2019-08-30 10:38:51.379494
2019-08-30 10:38:52.548532	2019-08-30 10:38:52.606995	2019-08-30 10:38:52.607033
2019-08-30 10:38:53.687966	2019-08-30 10:38:53.743233	2019-08-30 10:38:53.743329
2019-08-30 10:38:54.881441	2019-08-30 10:38:54.937294	2019-08-30 10:38:54.937331
2019-08-30 10:38:56.008672	2019-08-30 10:38:56.066585	2019-08-30 10:38:56.066626
2019-08-30 10:38:57.217677	2019-08-30 10:38:57.276361	2019-08-30 10:38:57.276393
2019-08-30 10:38:58.321459	2019-08-30 10:38:58.376823	2019-08-30 10:38:58.376878
2019-08-30 10:38:59.549477	2019-08-30 10:38:59.604973	2019-08-30 10:38:59.605042
2019-08-30 10:39:00.747839	2019-08-30 10:39:00.804122	2019-08-30 10:39:00.804201
2019-08-30 10:39:01.884248	2019-08-30 10:39:01.939481	2019-08-30 10:39:01.939572
2019-08-30 10:39:03.085125	2019-08-30 10:39:03.141944	2019-08-30 10:39:03.142022
2019-08-30 10:39:04.103977	2019-08-30 10:39:04.255559	2019-08-30 10:39:04.25564
2019-08-30 10:39:05.350333	2019-08-30 10:39:05.406221	2019-08-30 10:39:05.406323
2019-08-30 10:39:06.53794	2019-08-30 10:39:06.598313	2019-08-30 10:39:06.598375
2019-08-30 10:39:07.734656	2019-08-30 10:39:07.791	2019-08-30 10:39:07.791166
2019-08-30 10:39:08.918405	2019-08-30 10:39:08.976163	2019-08-30 10:39:08.976243
2019-08-30 10:39:10.104786	2019-08-30 10:39:10.159849	2019-08-30 10:39:10.16002
2019-08-30 10:39:11.248347	2019-08-30 10:39:11.3064	2019-08-30 10:39:11.306441
2019-08-30 10:39:12.344153	2019-08-30 10:39:12.401278	2019-08-30 10:39:12.40134
2019-08-30 10:39:13.576706	2019-08-30 10:39:13.632148	2019-08-30 10:39:13.632183
2019-08-30 10:39:14.664048	2019-08-30 10:39:14.719595	2019-08-30 10:39:14.719744
2019-08-30 10:39:15.865154	2019-08-30 10:39:15.921328	2019-08-30 10:39:15.921383
2019-08-30 10:39:17.014065	2019-08-30 10:39:17.069755	2019-08-30 10:39:17.069828
2019-08-30 10:39:18.193249	2019-08-30 10:39:18.248736	2019-08-30 10:39:18.2488
2019-08-30 10:39:19.374323	2019-08-30 10:39:19.430128	2019-08-30 10:39:19.430253
2019-08-30 10:39:20.504856	2019-08-30 10:39:20.563683	2019-08-30 10:39:20.56377
2019-08-30 10:39:21.703212	2019-08-30 10:39:21.758745	2019-08-30 10:39:21.758843
2019-08-30 10:39:22.824643	2019-08-30 10:39:22.88355	2019-08-30 10:39:22.883589
2019-08-30 10:39:23.970868	2019-08-30 10:39:24.026885	2019-08-30 10:39:24.026984
2019-08-30 10:39:25.13625	2019-08-30 10:39:25.194816	2019-08-30 10:39:25.195004
2019-08-30 10:39:26.359782	2019-08-30 10:39:26.416346	2019-08-30 10:39:26.416503
2019-08-30 10:39:27.502781	2019-08-30 10:39:27.560641	2019-08-30 10:39:27.560673
2019-08-30 10:39:28.599255	2019-08-30 10:39:28.65529	2019-08-30 10:39:28.655465
2019-08-30 10:39:29.841766	2019-08-30 10:39:29.898951	2019-08-30 10:39:29.89914
2019-08-30 10:39:30.941851	2019-08-30 10:39:30.997278	2019-08-30 10:39:30.997369
2019-08-30 10:39:32.109278	2019-08-30 10:39:32.167563	2019-08-30 10:39:32.167602
2019-08-30 10:39:33.287064	2019-08-30 10:39:33.342611	2019-08-30 10:39:33.342676
2019-08-30 10:39:34.419094	2019-08-30 10:39:34.474423	2019-08-30 10:39:34.474513
2019-08-30 10:39:35.616891	2019-08-30 10:39:35.672783	2019-08-30 10:39:35.672915
2019-08-30 10:39:36.782612	2019-08-30 10:39:36.838735	2019-08-30 10:39:36.838835
2019-08-30 10:39:37.867091	2019-08-30 10:39:37.924958	2019-08-30 10:39:37.925013
2019-08-30 10:39:39.10382	2019-08-30 10:39:39.160017	2019-08-30 10:39:39.160121
2019-08-30 10:39:40.047986	2019-08-30 10:39:40.242844	2019-08-30 10:39:40.242921
2019-08-30 10:39:41.410559	2019-08-30 10:39:41.465497	2019-08-30 10:39:41.465568
2019-08-30 10:39:42.559792	2019-08-30 10:39:42.615582	2019-08-30 10:39:42.615746
2019-08-30 10:39:43.715149	2019-08-30 10:39:43.772988	2019-08-30 10:39:43.773127
2019-08-30 10:39:44.899879	2019-08-30 10:39:44.955174	2019-08-30 10:39:44.955324
2019-08-30 10:39:46.066197	2019-08-30 10:39:46.125565	2019-08-30 10:39:46.125622
2019-08-30 10:39:47.170585	2019-08-30 10:39:47.226097	2019-08-30 10:39:47.226159
2019-08-30 10:39:48.399229	2019-08-30 10:39:48.454462	2019-08-30 10:39:48.454612
2019-08-30 10:39:49.52423	2019-08-30 10:39:49.582327	2019-08-30 10:39:49.582426
2019-08-30 10:39:50.717228	2019-08-30 10:39:50.776347	2019-08-30 10:39:50.776383
2019-08-30 10:39:51.805636	2019-08-30 10:39:51.860988	2019-08-30 10:39:51.861073
2019-08-30 10:39:53.017735	2019-08-30 10:39:53.073611	2019-08-30 10:39:53.073688
2019-08-30 10:39:54.180874	2019-08-30 10:39:54.236587	2019-08-30 10:39:54.237948
2019-08-30 10:39:55.351939	2019-08-30 10:39:55.407933	2019-08-30 10:39:55.40798
2019-08-30 10:39:56.492323	2019-08-30 10:39:56.547687	2019-08-30 10:39:56.547766
2019-08-30 10:39:57.599464	2019-08-30 10:39:57.655003	2019-08-30 10:39:57.65508
2019-08-30 10:39:58.771908	2019-08-30 10:39:58.830607	2019-08-30 10:39:58.830663
2019-08-30 10:39:59.927569	2019-08-30 10:39:59.982738	2019-08-30 10:39:59.982863
2019-08-30 10:40:01.090955	2019-08-30 10:40:01.148329	2019-08-30 10:40:01.148397
2019-08-30 10:40:02.264955	2019-08-30 10:40:02.320612	2019-08-30 10:40:02.321415
2019-08-30 10:40:03.415651	2019-08-30 10:40:03.473606	2019-08-30 10:40:03.473673
2019-08-30 10:40:04.506013	2019-08-30 10:40:04.56126	2019-08-30 10:40:04.561328
2019-08-30 10:40:05.717535	2019-08-30 10:40:05.775424	2019-08-30 10:40:05.775821
2019-08-30 10:40:06.895284	2019-08-30 10:40:06.951231	2019-08-30 10:40:06.951305
2019-08-30 10:40:08.03268	2019-08-30 10:40:08.088779	2019-08-30 10:40:08.088815
2019-08-30 10:40:09.204391	2019-08-30 10:40:09.261499	2019-08-30 10:40:09.26158
2019-08-30 10:40:10.31088	2019-08-30 10:40:10.366213	2019-08-30 10:40:10.366287
2019-08-30 10:40:11.530147	2019-08-30 10:40:11.587291	2019-08-30 10:40:11.587385
2019-08-30 10:40:12.681244	2019-08-30 10:40:12.737719	2019-08-30 10:40:12.737807
2019-08-30 10:40:13.783601	2019-08-30 10:40:13.838836	2019-08-30 10:40:13.838893
2019-08-30 10:40:14.956479	2019-08-30 10:40:15.012723	2019-08-30 10:40:15.012771
2019-08-30 10:40:16.171758	2019-08-30 10:40:16.230552	2019-08-30 10:40:16.230594
2019-08-30 10:40:17.302864	2019-08-30 10:40:17.358162	2019-08-30 10:40:17.358232
